stage,epoch,train_total,dev_total,dev_state,dev_state_low,dev_geodesic,dev_action,dev_auxiliary
e1,1,0.9291177185206407,0.8837745617866516,0.4702671033143997,0.18530286843404173,0.5605631141901016,0.2842452327519655,0.6463111273288726
e1,2,0.47720641346138587,0.8349879371404648,0.41761411496400835,0.15883557481616736,0.5092587750434876,0.30944189479947093,0.539659714770317
e1,3,0.37724675889454307,0.7698608546376229,0.3970108281493187,0.140317235442996,0.5049295017242431,0.2663704145759344,0.5323980562895536
e1,4,0.3207180779306496,0.7298033281564712,0.3784309906482696,0.13065246683675796,0.4874316799402237,0.235477501090616,0.5794742161989213
e2,1,0.2662154069477173,0.7256661827087403,0.3446248387694359,0.12289513119235634,0.4360366077184677,0.24816018326431513,0.6644057404339313
e2,2,0.21543903270042977,0.6663124324202537,0.32492402966022493,0.11328442767187953,0.4162018852472305,0.20475701410882174,0.6831570279844105
e2,3,0.18682640667246164,0.6766753950595855,0.3166176312148571,0.10887236267626285,0.4085140231847763,0.19358415270261467,0.8323680521752685
d1,1,0.29503874250134193,1.3015326380410754,0.3611777377456421,0.13876633479918202,0.43721925487509705,0.8213838048873552,0.5948553751934623
d1,2,0.21339596404908381,1.4294784657431399,0.3630840761171802,0.14138631216784422,0.435667782063313,0.9394088590887086,0.6349277607470812
d1,3,0.18225333562559207,1.3231459073270404,0.35641873110536987,0.13842921248822385,0.4283888078778695,0.8334860223817291,0.6662057105205911
