method,training_seeds,total_episodes,benchmark_mean,benchmark_std,benchmark_pooled,benchmark_wilson_low,benchmark_wilson_high,benchmark_worst_seed,strict_mean,strict_std,strict_pooled,strict_wilson_low,strict_wilson_high,strict_worst_seed,drop_rate_mean,final_orientation_error_mean,episode_return_mean,action_magnitude_mean,action_smoothness_mean,non_finite_episodes,time_to_success_mean
Vision BC,3,600,0.37333333333333335,0.11239810200058242,0.37333333333333335,0.33555152599322907,0.41272677159690857,0.25,0.14666666666666664,0.03752776749732568,0.14666666666666667,0.12060802259334437,0.17722091278967084,0.11,0.045000000000000005,0.4069738592298769,1996.9489276542092,4.150634789466857,0.15061286949863037,0,50.47707446808511
Vision BC + AWAC,3,600,0.5100000000000001,0.030413812651491123,0.51,0.47006417298781034,0.5498085929919156,0.49,0.20333333333333334,0.05299371031861549,0.20333333333333334,0.17306341797818772,0.23737785795660807,0.155,0.041666666666666664,0.31784747785624085,3018.937428672187,4.255698902606964,0.15674242655436196,0,35.85277476758473
Vision BC + AWAC + PPO/KL/BC,5,1000,0.527,0.025884358211089593,0.527,0.4960112345098614,0.5577821205319188,0.495,0.199,0.059413803110051795,0.199,0.175427205789421,0.22487650281888322,0.125,0.025,0.2997714019600187,2959.1568152242835,4.24450070977211,0.15711863465607168,0,36.51926988949917
Full method without KL/BC anchor,3,600,0.5133333333333333,0.020207259421636918,0.5133333333333333,0.473382466464604,0.5531145548416971,0.495,0.205,0.05,0.205,0.17462270619616485,0.23913069740191858,0.155,0.049999999999999996,0.3173792313376653,2972.141719746578,4.256299813191096,0.15729138407856227,0,36.337583272712465
