method,training_seeds,total_episodes,benchmark_mean,benchmark_std,benchmark_pooled,benchmark_wilson_low,benchmark_wilson_high,benchmark_worst_seed,strict_mean,strict_std,strict_pooled,strict_wilson_low,strict_wilson_high,strict_worst_seed,drop_rate_mean,final_orientation_error_mean,episode_return_mean,action_magnitude_mean,action_smoothness_mean,non_finite_episodes,time_to_success_mean
normal,5,1000,0.527,0.025884358211089593,0.527,0.4960112345098614,0.5577821205319188,0.495,0.199,0.059413803110051795,0.199,0.175427205789421,0.22487650281888322,0.125,0.025,0.2997714019600187,2959.1568152242835,4.24450070977211,0.15711863465607168,0,36.51926988949917
black,5,1000,0.227,0.04563441683641854,0.227,0.20211062426744336,0.2539787858656698,0.185,0.095,0.030618621784789725,0.095,0.07834523457904741,0.11475443979425223,0.065,0.0,0.4806459698669635,1165.5894805413632,4.1373096942901615,0.10599325001239776,0,38.497697203072725
episode_shuffle,5,1000,0.27,0.022912878474779196,0.27,0.2434023676164589,0.29835794128689647,0.235,0.057999999999999996,0.016807736313971613,0.058,0.04513327823499824,0.0742495762662325,0.04,0.031999999999999994,0.470678291382755,1014.287971919415,4.248736770153046,0.16236393340677022,0,40.18365691869857
temporal_shuffle,5,1000,0.5349999999999999,0.03162277660168377,0.535,0.5040112456567101,0.5657208812493011,0.51,0.194,0.02247220505424423,0.194,0.17068142956732762,0.21966054662583218,0.155,0.030000000000000006,0.31519920370440363,2880.232253803989,4.251334494113922,0.154815043002367,0,35.55734937285042
target_occlusion,5,1000,0.40800000000000003,0.08548391661593426,0.408,0.3779477218755777,0.43875640168576435,0.315,0.125,0.042278836313219416,0.125,0.10592623063520473,0.14694383822896162,0.055,0.043000000000000003,0.4133786212704914,1917.0365106327458,4.259324568748474,0.16873568069934844,0,39.923719067661466
