residual_scale,trained_online_steps,selected_online_steps,selected_benchmark,selected_strict,best_nonzero_steps,best_nonzero_benchmark,best_nonzero_strict,final_benchmark,final_strict,final_residual_l2,final_scaled_residual_l2,final_saturation_rate,final_q_mean,final_q_target_mean,final_critic_loss,final_temperature,run_dir,best_checkpoint
0.2,100000,0,0.64,0.4,10000,0.62,0.3,0.28,0.26,2.854828181385994,0.5709656473398209,0.2783750085197389,610.1942262573242,610.1974541015625,8.233352859020233,0.0743382214233279,runs/v2/residual_sac/scale_0p2_seed_101,runs/v2/residual_sac/scale_0p2_seed_101/best_residual_sac_validation.pt
0.1,100000,0,0.64,0.4,40000,0.64,0.34,0.52,0.2,3.1827324130535124,0.318273246973753,0.279583341922611,83.92726871490478,83.92863628387451,1.4465463626384736,0.0058474881579168,runs/v2/residual_sac_rescue/scale_0p1_seed_101,runs/v2/residual_sac_rescue/scale_0p1_seed_101/best_residual_sac_validation.pt
0.4,30000,0,0.64,0.4,10000,0.3,0.1,0.2,0.16,2.8863022062778474,1.1545209062695505,0.430375011369586,169.9035260620117,169.90721296691893,1.5536426520347597,0.0291850228570401,runs/v2/residual_sac_rescue/scale_0p4_seed_101,runs/v2/residual_sac_rescue/scale_0p4_seed_101/best_residual_sac_validation.pt
