epoch,train_loss,dev_positive_rmse,dev_zero_rms
1,0.06541790813207626,0.4032379686832428,0.01225243229418993
5,0.04338154383003712,0.31327924132347107,0.12406130135059357
10,0.034867024747654796,0.2862503230571747,0.13627628982067108
15,0.029723083833232522,0.2746211588382721,0.14286938309669495
20,0.025461096316576004,0.2687305212020874,0.14342886209487915
25,0.02231633139308542,0.25964561104774475,0.14841745793819427
30,0.01985910488292575,0.2614482641220093,0.14142869412899017
35,0.017675538081675768,0.26117098331451416,0.14332528412342072
40,0.015543017303571105,0.26037049293518066,0.1409003883600235
45,0.01410503895021975,0.26389268040657043,0.137778177857399
50,0.013227596413344145,0.2694438099861145,0.1362399160861969
55,0.012075935257598758,0.27405232191085815,0.13261820375919342
60,0.011070100707001984,0.2715955376625061,0.13837754726409912
65,0.009478222986217588,0.2815791666507721,0.1310868114233017
70,0.00931777828373015,0.28014928102493286,0.1342177391052246
75,0.008304671035148203,0.2845364809036255,0.13352549076080322
80,0.008013983257114887,0.2873764932155609,0.13273648917675018
85,0.007353506225626916,0.29269227385520935,0.12962043285369873
90,0.006855523097328842,0.29503127932548523,0.13133463263511658
95,0.006451506284065545,0.295303076505661,0.1312742531299591
100,0.006612166529521346,0.28305476903915405,0.13826879858970642
105,0.005759303166996688,0.3020337224006653,0.12646110355854034
110,0.005443466827273369,0.3024124205112457,0.1271739900112152
115,0.0058071810635738075,0.29525497555732727,0.13224296271800995
120,0.005049247061833739,0.30430158972740173,0.12459184229373932
125,0.004591932840412483,0.2985902726650238,0.12914849817752838
130,0.004469319857889786,0.3019794523715973,0.12840153276920319
135,0.004348989314166829,0.3106020390987396,0.12535816431045532
140,0.003895184665452689,0.3074024021625519,0.127882182598114
145,0.004365592205431312,0.3119179606437683,0.12278220802545547
150,0.003979438100941479,0.3106348514556885,0.12510323524475098
155,0.0034808508644346148,0.30989381670951843,0.12620876729488373
160,0.003424222319154069,0.31525880098342896,0.1248335987329483
