epoch,train_loss,coverage,precision,harm_rate,selected_roots,roots,selected_strong_gains,selected_harms,selected_net_strong_gain,passes_constraints
1,2.6430045536586215,0.0,0.0,0.0,0,52,0,0,0,False
5,1.6784699303763253,0.25,0.0,0.0,13,52,0,0,0,False
10,0.9446778382573809,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
15,0.6429778167179653,0.09615384615384616,0.0,0.0,5,52,0,0,0,False
20,0.5511927306652069,0.11538461538461539,0.0,0.0,6,52,0,0,0,False
25,0.5163609598364148,0.057692307692307696,0.3333333333333333,0.3333333333333333,3,52,1,1,0,False
30,0.46779463972364155,0.15384615384615385,0.0,0.0,8,52,0,0,0,False
35,0.4588267632893154,0.15384615384615385,0.0,0.0,8,52,0,0,0,False
40,0.3790887338774545,0.15384615384615385,0.0,0.0,8,52,0,0,0,False
45,0.3702852896281651,0.1346153846153846,0.0,0.0,7,52,0,0,0,False
50,0.332955356155123,0.11538461538461539,0.0,0.0,6,52,0,0,0,False
55,0.28550787908690317,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
60,0.25895888251917704,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
65,0.2289127962929862,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
70,0.20437444959368026,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
75,0.17461940007550375,0.057692307692307696,0.0,0.0,3,52,0,0,0,False
80,0.15800419662679946,0.057692307692307696,0.0,0.0,3,52,0,0,0,False
85,0.13640451431274414,0.057692307692307696,0.0,0.0,3,52,0,0,0,False
90,0.11782823183706828,0.057692307692307696,0.0,0.0,3,52,0,0,0,False
95,0.12037183876548495,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
100,0.11930199712514877,0.09615384615384616,0.0,0.0,5,52,0,0,0,False
105,0.11328672990202904,0.09615384615384616,0.0,0.0,5,52,0,0,0,False
110,0.09064248363886561,0.057692307692307696,0.0,0.0,3,52,0,0,0,False
115,0.06063633571778025,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
120,0.04728583831872259,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
125,0.03940761435244765,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
130,0.034329336668763845,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
135,0.03264418989419937,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
140,0.027648999222687314,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
145,0.024240793394190923,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
150,0.024678886202829226,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
155,0.021387528628110886,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
160,0.02095080300101212,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
