epoch,train_loss,coverage,precision,harm_rate,selected_roots,roots,selected_strong_gains,selected_harms,selected_net_strong_gain,passes_constraints
1,2.454323172569275,0.05622489959839357,0.0,0.0,14,249,0,0,0,False
5,1.6335478144533493,0.024096385542168676,0.0,0.0,6,249,0,0,0,False
10,1.238949179649353,0.0642570281124498,0.25,0.0625,16,249,4,1,3,False
15,1.0008635503404282,0.028112449799196786,0.2857142857142857,0.14285714285714285,7,249,2,1,1,False
20,0.8757377144168405,0.04819277108433735,0.25,0.0,12,249,3,0,3,False
25,0.7503568915759816,0.08433734939759036,0.19047619047619047,0.0,21,249,4,0,4,False
30,0.6850053264814264,0.04819277108433735,0.16666666666666666,0.0,12,249,2,0,2,False
35,0.6286448345464819,0.14859437751004015,0.2702702702702703,0.13513513513513514,37,249,10,5,5,False
40,0.5715566198615467,0.14457831325301204,0.25,0.1388888888888889,36,249,9,5,4,False
45,0.5375454741365769,0.1646586345381526,0.3170731707317073,0.14634146341463414,41,249,13,6,7,False
50,0.4999515861272812,0.11244979919678715,0.35714285714285715,0.21428571428571427,28,249,10,6,4,False
55,0.47026850107838125,0.18072289156626506,0.28888888888888886,0.1111111111111111,45,249,13,5,8,False
60,0.447136071674964,0.12048192771084337,0.26666666666666666,0.16666666666666666,30,249,8,5,3,False
65,0.4076575154767317,0.1646586345381526,0.2926829268292683,0.21951219512195122,41,249,12,9,3,False
70,0.3896086733130848,0.14056224899598393,0.2571428571428571,0.17142857142857143,35,249,9,6,3,False
75,0.38297470965806174,0.1285140562248996,0.25,0.28125,32,249,8,9,-1,False
80,0.3345657140016556,0.18875502008032127,0.2553191489361702,0.23404255319148937,47,249,12,11,1,False
85,0.34170345655258966,0.13654618473895583,0.35294117647058826,0.14705882352941177,34,249,12,5,7,False
90,0.2875309687326936,0.18875502008032127,0.2553191489361702,0.19148936170212766,47,249,12,9,3,False
95,0.275692191632355,0.11244979919678715,0.32142857142857145,0.21428571428571427,28,249,9,6,3,False
100,0.25917858235976277,0.21686746987951808,0.24074074074074073,0.2037037037037037,54,249,13,11,2,False
105,0.25934756591039543,0.14457831325301204,0.2777777777777778,0.2222222222222222,36,249,10,8,2,False
110,0.2501543790978544,0.15261044176706828,0.2631578947368421,0.15789473684210525,38,249,10,6,4,False
115,0.2298953265828245,0.13253012048192772,0.30303030303030304,0.15151515151515152,33,249,10,5,5,False
120,0.20691221470341964,0.14056224899598393,0.34285714285714286,0.17142857142857143,35,249,12,6,6,False
125,0.21727128765162299,0.17670682730923695,0.2727272727272727,0.25,44,249,12,11,1,False
130,0.2361777012839037,0.18072289156626506,0.26666666666666666,0.15555555555555556,45,249,12,7,5,False
135,0.17944996541037278,0.12449799196787148,0.2903225806451613,0.1935483870967742,31,249,9,6,3,False
140,0.17061202403377085,0.14457831325301204,0.2777777777777778,0.16666666666666666,36,249,10,6,4,False
145,0.17829485215684948,0.17670682730923695,0.25,0.20454545454545456,44,249,11,9,2,False
150,0.14914080675910502,0.1646586345381526,0.2926829268292683,0.21951219512195122,41,249,12,9,3,False
155,0.132163826157065,0.14859437751004015,0.2702702702702703,0.1891891891891892,37,249,10,7,3,False
160,0.15477576347834923,0.1646586345381526,0.3170731707317073,0.14634146341463414,41,249,13,6,7,False
